,loss,accuracy,val_loss,val_accuracy
0,-370449.1875,1.0,-135427.78125,0.988736093044281
1,-1776448.75,1.0,-817194.75,1.0
2,-9969412.0,1.0,-5920664.0,1.0
3,-54929136.0,0.9999973773956299,-40445872.0,0.9999961853027344
4,-269407712.0,0.9999945759773254,-199188592.0,0.9999960064888
5,-1130856320.0,0.9999890327453613,-902667264.0,0.9999960064888
6,-4090711040.0,0.9999754428863525,-3621048576.0,0.9999920129776001
7,-12979923968.0,0.9999550580978394,-12786109440.0,0.9999866485595703
8,-36963360768.0,0.9999135136604309,-39769473024.0,0.999976396560669
9,-95913730048.0,0.9997939467430115,-110472142848.0,0.9999644756317139
10,-228671651840.0,0.9995239973068237,-281758105600.0,0.9999532103538513
11,-505912164352.0,0.9992016553878784,-653767671808.0,0.9999252557754517
12,-1050115047424.0,0.9989133477210999,-1431505862656.0,0.9999056458473206
13,-2065477402624.0,0.998698890209198,-3007972114432.0,0.9999021887779236
14,-3880927100928.0,0.9986000061035156,-6074634076160.0,0.9999169707298279
15,-6982863945728.0,0.9984897971153259,-10766430240768.0,0.9998735785484314
16,-12081671700480.0,0.9983217716217041,-18196962738176.0,0.9997562170028687
17,-20183712268288.0,0.9981379508972168,-29960525840384.0,0.9996315240859985
18,-32687085584384.0,0.9979853630065918,-47915531763712.0,0.9994756579399109
19,-51468644122624.0,0.9978393316268921,-71936264634368.0,0.9991031885147095
20,-79025720524800.0,0.9976932406425476,-105963017207808.0,0.9985856413841248
21,-118575910092800.0,0.9975565075874329,-152190270308352.0,0.9980059266090393
22,-174227965607936.0,0.9974488019943237,-214868355448832.0,0.9975019097328186
23,-251269377687552.0,0.9973392486572266,-306379881447424.0,0.9973323345184326
24,-356335820472320.0,0.9972389936447144,-433602282127360.0,0.9974684119224548
25,-497575048249344.0,0.9971708655357361,-608079053848576.0,0.9977278113365173
26,-684863673860096.0,0.9970733523368835,-806908390801408.0,0.9972962737083435
27,-930159993552896.0,0.996937096118927,-1057907353321472.0,0.9968608617782593
28,-1248479078776832.0,0.9963921904563904,-1477797851693056.0,0.9952489733695984
29,-1657372984475648.0,0.994904637336731,-1862877640130560.0,0.9946292638778687
