   ,index ,batch ,lr     ,train_loss             ,train_acc          ,train_mean_iou      ,val_loss               ,val_acc            ,val_mean_iou       ,test_loss             ,test_acc           ,test_mean_iou
 0 ,   40 ,   20 ,0.01   ,12.057601928710938     ,0.6970248818397522 ,0.5020838379859924  ,0.0                    ,1.0                ,1.0                ,0.0                   ,1.0                ,1.0
 1 ,   41 ,   20 ,0.05   ,840572.5               ,0.6363474130630493 ,0.36103084683418274 ,0.0                    ,1.0                ,1.0                ,0.0                   ,1.0                ,1.0
 2 ,   42 ,   20 ,0.001  ,1.7418960496229374e-08 ,1.0                ,1.0                 ,9.816614692681469e-06  ,1.0                ,1.0                ,6.051125637895893e-06 ,1.0                ,1.0
 3 ,   43 ,   20 ,0.005  ,0.0                    ,1.0                ,1.0                 ,0.0                    ,1.0                ,1.0                ,0.0                   ,1.0                ,1.0
 4 ,   44 ,   20 ,0.0001 ,8.57732811709866e-06   ,0.9999997615814209 ,0.9892855882644653  ,0.00029682586318813264 ,1.0                ,1.0                ,0.0002656486176420003 ,0.9999999403953552 ,0.9916666150093079
 5 ,   45 ,   20 ,0.0005 ,1.226548029809038e-10  ,1.0                ,1.0                 ,1.0359293582951068e-06 ,1.0                ,1.0                ,3.864682639687089e-06 ,0.9999992251396179 ,0.9916663765907288
 6 ,   46 ,   20 ,1e-05  ,0.0005069485632702708  ,0.9999838471412659 ,0.7678490877151489  ,0.0011402965756133199  ,0.9999901056289673 ,0.8833295702934265 ,0.001131070894189179  ,0.9999824166297913 ,0.7416580319404602
 7 ,   47 ,   20 ,5e-05  ,0.0001483176602050662  ,0.9999956488609314 ,0.864283561706543   ,0.0011757944012060761  ,0.9999998211860657 ,0.9833332896232605 ,0.0011605586623772979 ,0.999998152256012  ,0.9472200870513916
 8 ,   48 ,   20 ,1e-06  ,0.0404508151113987     ,0.9900426864624023 ,0.4950213134288788  ,0.05647008866071701    ,0.987960159778595  ,0.4941977560520172 ,0.052738677710294724  ,0.9886256456375122 ,0.49456438422203064
 9 ,   49 ,   20 ,5e-06  ,0.002950371475890279   ,0.9997765421867371 ,0.5356025695800781  ,0.0043854909017682076  ,0.9997979998588562 ,0.5610265731811523 ,0.004129420034587383  ,0.9998225569725037 ,0.5915839672088623
