,loss,accuracy,mean_iou,val_loss,val_accuracy,val_mean_iou
0,0.6205053329467773,0.9249215126037598,0.7065590620040894,0.02498968318104744,0.9950641393661499,0.49749496579170227
1,7.115606308616407e-07,0.9999997019767761,0.9965275526046753,0.0008359741768799722,0.9996869564056396,0.6699853539466858
2,6.780609962397932e-10,1.0,1.0,1.5376912415376864e-05,0.9999980330467224,0.9791657328605652
3,5.867731855957459e-10,1.0,1.0,2.2552219434146537e-06,0.9999999403953552,0.9895833134651184
4,3.9515821170788e-10,1.0,1.0,9.400292242389696e-07,1.0,1.0
5,3.29558447198508e-09,1.0,1.0,5.919580985391804e-07,1.0,1.0
6,4.789471597099748e-10,1.0,1.0,4.399527142595616e-07,1.0,1.0
7,4.641518280834589e-10,1.0,1.0,3.430011474847561e-07,1.0,1.0
8,6.318035872254768e-09,1.0,1.0,2.8047722366864036e-07,1.0,1.0
9,1.7264430596242164e-07,1.0,0.9965277910232544,2.321058758525396e-07,1.0,1.0
10,6.483510395227654e-10,1.0,1.0,1.957722730594469e-07,1.0,1.0
11,6.969043675475461e-10,1.0,1.0,1.6937073610279185e-07,1.0,1.0
12,6.921471729093298e-10,1.0,1.0,1.4259514102832327e-07,1.0,1.0
13,6.085662529464742e-10,1.0,1.0,1.2301437379846902e-07,1.0,1.0
14,5.642312395082172e-09,1.0,1.0,1.0375909909043912e-07,1.0,1.0
15,4.089554472841428e-09,1.0,1.0,8.708799015266777e-08,1.0,1.0
16,6.657363549322781e-10,1.0,1.0,7.162099535662492e-08,1.0,1.0
17,2.080582639507611e-08,1.0,1.0,5.8073588604656834e-08,1.0,1.0
18,4.363430949894109e-09,1.0,1.0,4.670938835715788e-08,1.0,1.0
19,7.302216054050348e-10,1.0,1.0,3.7079921355598344e-08,1.0,1.0
20,4.4800937959443843e-10,1.0,1.0,2.8440108934546515e-08,1.0,1.0
21,1.6286865189840682e-09,1.0,1.0,2.1645735870379212e-08,1.0,1.0
22,6.561283183437183e-10,1.0,1.0,1.6314647410808902e-08,1.0,1.0
23,9.787670673944149e-10,1.0,1.0,1.2115288328118368e-08,1.0,1.0
24,1.4500801670536134e-09,1.0,1.0,8.853366928462947e-09,1.0,1.0
25,2.6284954213195988e-09,1.0,1.0,6.357893322928021e-09,1.0,1.0
26,4.118610341663498e-09,1.0,1.0,4.644079343307794e-09,1.0,1.0
27,1.3559874334490019e-09,1.0,1.0,3.4061959919284845e-09,1.0,1.0
28,3.639001600053149e-10,1.0,1.0,2.4833493039722043e-09,1.0,1.0
29,1.210141986618396e-09,1.0,1.0,1.8579855431966052e-09,1.0,1.0
30,1.9283610264153594e-09,1.0,1.0,1.3794808628730948e-09,1.0,1.0
31,5.382156942346228e-10,1.0,1.0,1.051684073161141e-09,1.0,1.0
32,2.7652551359835797e-09,1.0,1.0,8.278665530880858e-10,1.0,1.0
33,5.155186832972447e-10,1.0,1.0,6.612018710328016e-10,1.0,1.0
34,5.505300104680089e-10,1.0,1.0,5.644096856549652e-10,1.0,1.0
35,3.5759382122080297e-09,1.0,1.0,4.892593552519031e-10,1.0,1.0
36,1.7225748605298463e-09,1.0,1.0,4.3165113150500645e-10,1.0,1.0
37,1.5275914977408434e-09,1.0,1.0,3.7975450561944513e-10,1.0,1.0
38,4.453752922017884e-10,1.0,1.0,3.475088550253247e-10,1.0,1.0
39,1.4054565289356447e-09,1.0,1.0,3.25959093050443e-10,1.0,1.0
40,1.2804317606196491e-09,1.0,1.0,3.1402730416019153e-10,1.0,1.0
41,9.151948643371099e-10,1.0,1.0,3.0452729227192776e-10,1.0,1.0
42,1.321995402037146e-09,1.0,1.0,2.915081231957828e-10,1.0,1.0
43,3.1545617229511436e-09,1.0,1.0,2.7154908877058404e-10,1.0,1.0
44,7.768043985834083e-10,1.0,1.0,2.7767796395572475e-10,1.0,1.0
45,6.91531365504261e-09,1.0,1.0,2.8320368272716223e-10,1.0,1.0
46,6.886416326068456e-09,1.0,1.0,2.7681770764509395e-10,1.0,1.0
47,6.2178684423486175e-09,1.0,1.0,2.8246247008034686e-10,1.0,1.0
48,3.496452904983016e-09,1.0,1.0,2.8184973799305624e-10,1.0,1.0
49,3.144901894458485e-09,1.0,1.0,2.853590697071695e-10,1.0,1.0
50,1.7132066876257568e-09,1.0,1.0,2.936830778565991e-10,1.0,1.0
51,8.392380679289602e-10,1.0,1.0,2.9444419125113086e-10,1.0,1.0
52,2.4242305940447295e-09,1.0,1.0,2.9881358498684563e-10,1.0,1.0
53,1.0992714516433466e-09,1.0,1.0,2.989027081401474e-10,1.0,1.0
54,1.5033473355074989e-09,1.0,1.0,2.965005463373416e-10,1.0,1.0
55,2.4977142576432243e-09,1.0,1.0,3.0239247217345167e-10,1.0,1.0
56,7.286115599747234e-10,1.0,1.0,2.874059601420953e-10,1.0,1.0
57,1.2747931599221829e-09,1.0,1.0,2.823346278990613e-10,1.0,1.0
58,4.443276413468311e-09,1.0,1.0,2.79369111177985e-10,1.0,1.0
59,1.2192580278735932e-09,1.0,1.0,2.8227564730087806e-10,1.0,1.0
60,3.2581440323475874e-10,1.0,1.0,2.83343210005782e-10,1.0,1.0
61,8.232599602031598e-10,1.0,1.0,2.8512275873637805e-10,1.0,1.0
62,3.890703315079236e-09,1.0,1.0,2.856170577825168e-10,1.0,1.0
63,7.415331682025794e-10,1.0,1.0,2.873370430478417e-10,1.0,1.0
64,2.0832084945965335e-09,1.0,1.0,2.92546709079744e-10,1.0,1.0
65,5.682214143654107e-10,1.0,1.0,2.839759816186671e-10,1.0,1.0
66,6.913241645811752e-10,1.0,1.0,2.847371505243501e-10,1.0,1.0
67,1.3955941957632945e-09,1.0,1.0,2.8546873198642686e-10,1.0,1.0
68,2.0978998538367932e-09,1.0,1.0,3.0591210120611834e-10,1.0,1.0
69,9.1721241712861e-10,1.0,1.0,3.083240607271165e-10,1.0,1.0
70,1.8331791640235906e-09,1.0,1.0,3.0289684649353887e-10,1.0,1.0
71,1.7923452722001798e-09,1.0,1.0,3.0305488674109426e-10,1.0,1.0
72,1.3902191398074137e-08,1.0,1.0,3.006132287541874e-10,1.0,1.0
73,2.473058424712349e-09,1.0,1.0,2.9705454762662953e-10,1.0,1.0
74,1.860846032819552e-09,1.0,1.0,2.988043423801656e-10,1.0,1.0
75,7.260502199457619e-10,1.0,1.0,2.9541366575180916e-10,1.0,1.0
76,1.5519792118112719e-09,1.0,1.0,3.0734545464206064e-10,1.0,1.0
77,6.574084610022624e-10,1.0,1.0,2.990909464539726e-10,1.0,1.0
78,2.382955610613635e-09,1.0,1.0,2.894820494425687e-10,1.0,1.0
79,4.595802849394204e-09,1.0,1.0,2.903024765021911e-10,1.0,1.0
80,1.5997572972992202e-06,0.9999991059303284,0.996527373790741,2.6610272318983164e-10,1.0,1.0
81,3.991664498936842e-10,1.0,1.0,2.657963016350351e-10,1.0,1.0
82,6.501287286297952e-10,1.0,1.0,2.665574427851425e-10,1.0,1.0
83,4.781959828115134e-10,1.0,1.0,2.6775343053841993e-10,1.0,1.0
84,5.681116133082753e-10,1.0,1.0,2.737243209871565e-10,1.0,1.0
85,1.7266085228229144e-09,1.0,1.0,2.7218205467249845e-10,1.0,1.0
86,9.460182637255343e-10,1.0,1.0,2.8168195553845976e-10,1.0,1.0
87,4.294990196829218e-10,1.0,1.0,2.7472232821956766e-10,1.0,1.0
88,4.219424531992644e-10,1.0,1.0,2.7720362116845365e-10,1.0,1.0
89,5.812291203888265e-10,1.0,1.0,2.798430653871975e-10,1.0,1.0
90,5.848815320952383e-10,1.0,1.0,2.706791457640634e-10,1.0,1.0
91,4.551994614576671e-10,1.0,1.0,2.6747640213820034e-10,1.0,1.0
92,3.9112960092957394e-10,1.0,1.0,2.639175544771888e-10,1.0,1.0
93,1.2462757492670562e-09,1.0,1.0,2.57027371608487e-10,1.0,1.0
94,5.621966780999799e-10,1.0,1.0,2.595088310908267e-10,1.0,1.0
95,7.6608508425835e-10,1.0,1.0,2.564344570021859e-10,1.0,1.0
96,4.166357536750098e-10,1.0,1.0,2.603194049211055e-10,1.0,1.0
97,6.420810549911948e-10,1.0,1.0,2.639573559726216e-10,1.0,1.0
98,9.509525389361784e-10,1.0,1.0,2.7521704359934063e-10,1.0,1.0
99,6.800051077782143e-10,1.0,1.0,2.754740047183901e-10,1.0,1.0
