,loss,accuracy,mean_iou,val_loss,val_accuracy,val_mean_iou
0,1.5113381147384644,0.7979989647865295,0.4454280734062195,10.584685325622559,0.07021862268447876,0.03502465412020683
1,0.0005364202661439776,0.9998733401298523,0.9249366521835327,0.039228931069374084,0.9903460741043091,0.49449607729911804
2,1.0559063845505534e-08,1.0,1.0,0.0019783005118370056,0.9996022582054138,0.685823380947113
3,3.099128453865063e-10,1.0,1.0,0.00037722723209299147,0.9999153017997742,0.8582746386528015
4,1.9698657982569756e-10,1.0,1.0,8.669722592458129e-05,0.9999804496765137,0.9027655124664307
5,1.8420477643221744e-10,1.0,1.0,1.8224807718070224e-05,0.9999963641166687,0.9277753829956055
6,2.1076537737307888e-10,1.0,1.0,3.754547606149572e-06,0.9999997615814209,0.9916665554046631
7,1.226548029809038e-10,1.0,1.0,1.0359293582951068e-06,1.0,1.0
8,9.416831897590683e-11,1.0,1.0,4.4094991835663677e-07,1.0,1.0
9,1.2416534467263318e-10,1.0,1.0,2.483218679572019e-07,1.0,1.0
10,1.0751511486661869e-10,1.0,1.0,1.5843619394217967e-07,1.0,1.0
11,5.486199342041864e-11,1.0,1.0,1.1412524258958001e-07,1.0,1.0
12,1.1009999162370221e-10,1.0,1.0,8.744058987986136e-08,1.0,1.0
13,1.4374863799293536e-10,1.0,1.0,7.105192878498201e-08,1.0,1.0
14,1.0556303053910199e-10,1.0,1.0,5.923762458337478e-08,1.0,1.0
15,1.1544073336144933e-10,1.0,1.0,5.041395212401767e-08,1.0,1.0
16,1.4091300348795244e-10,1.0,1.0,4.385172047705055e-08,1.0,1.0
17,8.011343671787685e-11,1.0,1.0,3.860166941649368e-08,1.0,1.0
18,1.2716996899975186e-10,1.0,1.0,3.450725571951807e-08,1.0,1.0
19,1.3054808623014225e-10,1.0,1.0,3.082064026216358e-08,1.0,1.0
20,1.446549546813003e-10,1.0,1.0,2.7981355898987204e-08,1.0,1.0
21,1.0982455916908052e-10,1.0,1.0,2.5615671361833847e-08,1.0,1.0
22,8.986451166537179e-11,1.0,1.0,2.3282286321091306e-08,1.0,1.0
23,9.526947980509348e-11,1.0,1.0,2.146699706884192e-08,1.0,1.0
24,1.2814425909279947e-10,1.0,1.0,2.0062104866269692e-08,1.0,1.0
25,5.812965386819968e-11,1.0,1.0,1.8754722219682662e-08,1.0,1.0
26,1.152291734252131e-10,1.0,1.0,1.795550552685654e-08,1.0,1.0
27,1.0762235547190357e-10,1.0,1.0,1.6889533327457684e-08,1.0,1.0
28,1.2640662128138302e-10,1.0,1.0,1.5931940211544315e-08,1.0,1.0
29,1.3309132962380232e-10,1.0,1.0,1.5347829673828528e-08,1.0,1.0
30,1.5537698905276898e-10,1.0,1.0,1.4574611739703869e-08,1.0,1.0
31,1.0117471443971127e-10,1.0,1.0,1.3809638765849286e-08,1.0,1.0
32,1.0617689366609895e-10,1.0,1.0,1.3233198536966029e-08,1.0,1.0
33,2.320762054752734e-10,1.0,1.0,1.2677133121030693e-08,1.0,1.0
34,1.241101388327337e-10,1.0,1.0,1.2099303781099024e-08,1.0,1.0
35,1.7700328702741075e-10,1.0,1.0,1.1575020053555818e-08,1.0,1.0
36,7.108343080819424e-11,1.0,1.0,1.0949541717764077e-08,1.0,1.0
37,9.83162717904662e-11,1.0,1.0,1.042327379963126e-08,1.0,1.0
38,8.202336032603341e-11,1.0,1.0,9.882433538166424e-09,1.0,1.0
39,1.3858403313804502e-10,1.0,1.0,9.363766650949401e-09,1.0,1.0
40,1.0018075258244608e-10,1.0,1.0,8.891094083196549e-09,1.0,1.0
41,9.363240044413246e-11,1.0,1.0,8.438177268033087e-09,1.0,1.0
42,1.0389993032600131e-10,1.0,1.0,7.950073488416365e-09,1.0,1.0
43,1.309832936557953e-10,1.0,1.0,7.426629089479775e-09,1.0,1.0
44,1.6783392731145597e-10,1.0,1.0,6.946753394743155e-09,1.0,1.0
45,1.6751890152821858e-10,1.0,1.0,6.50231424259573e-09,1.0,1.0
46,1.0280854639832526e-10,1.0,1.0,5.991100060498411e-09,1.0,1.0
47,1.2936567095334084e-10,1.0,1.0,5.507768907619948e-09,1.0,1.0
48,1.173323938008508e-10,1.0,1.0,5.112529954942602e-09,1.0,1.0
49,9.0985129153065e-11,1.0,1.0,4.695725142056517e-09,1.0,1.0
50,9.841693432433019e-11,1.0,1.0,4.330884539882618e-09,1.0,1.0
51,1.229895491006161e-10,1.0,1.0,3.992144836928446e-09,1.0,1.0
