,loss,accuracy,mean_iou,val_loss,val_accuracy,val_mean_iou
0,0.6140534281730652,0.9556741714477539,0.790952742099762,0.0009557142620906234,0.9999985694885254,0.9562493562698364
1,3.577760435291566e-05,0.9999831914901733,0.9930474162101746,0.0004215931403450668,1.0,1.0
2,1.2645649860587582e-08,1.0,1.0,0.00017361108621116728,1.0,1.0
3,2.7539761049411027e-07,1.0,1.0,9.251714072888717e-05,1.0,1.0
4,4.659346330981862e-08,1.0,1.0,6.484123878180981e-05,1.0,1.0
5,1.886257194883001e-08,1.0,1.0,5.5141543271020055e-05,1.0,1.0
6,1.075636468783614e-08,1.0,1.0,4.584307680488564e-05,1.0,1.0
7,4.5358355293956265e-08,1.0,1.0,4.196150985080749e-05,1.0,1.0
8,8.164940368260432e-08,1.0,1.0,4.163813355262391e-05,1.0,1.0
9,3.394383796262446e-08,1.0,1.0,4.269406053936109e-05,1.0,1.0
10,5.1257941890980874e-08,1.0,1.0,4.5252385461935773e-05,1.0,1.0
11,7.502274712578583e-08,1.0,1.0,4.744326724903658e-05,1.0,1.0
12,9.656822186343561e-08,1.0,1.0,5.030554166296497e-05,1.0,1.0
13,5.593198793008014e-08,1.0,1.0,5.2748520829482004e-05,1.0,1.0
14,1.294955183084312e-07,1.0,1.0,5.2892573876306415e-05,1.0,1.0
15,7.317007799656494e-08,1.0,1.0,5.213209078647196e-05,1.0,1.0
16,1.6052256412990573e-08,1.0,1.0,4.994267874280922e-05,1.0,1.0
17,1.2420552764069726e-07,1.0,1.0,4.796128996531479e-05,1.0,1.0
18,1.0610039957725803e-08,1.0,1.0,4.42366799688898e-05,1.0,1.0
19,6.304660473688273e-07,1.0,1.0,4.127717329538427e-05,1.0,1.0
20,5.3465218030623873e-08,1.0,1.0,3.792320057982579e-05,1.0,1.0
21,4.510303881488653e-07,1.0,1.0,3.5437777114566416e-05,1.0,1.0
22,2.165299584078184e-08,1.0,1.0,3.164431473123841e-05,1.0,1.0
23,4.575161227649005e-08,1.0,1.0,2.8406780984369107e-05,1.0,1.0
24,3.458290365188077e-08,1.0,1.0,2.5138318960671313e-05,1.0,1.0
25,9.283988688935096e-09,1.0,1.0,2.170822335756384e-05,1.0,1.0
26,4.9424887293980646e-08,1.0,1.0,1.8817143427440897e-05,1.0,1.0
27,3.409041227087073e-08,1.0,1.0,1.5778881788719445e-05,1.0,1.0
28,2.297945833618087e-08,1.0,1.0,1.3511126780940685e-05,1.0,1.0
29,4.573192597945308e-07,1.0,1.0,1.141162465501111e-05,1.0,1.0
30,3.620202093657099e-08,1.0,1.0,9.511923053651117e-06,1.0,1.0
31,6.644682137846303e-09,1.0,1.0,7.669027581869159e-06,1.0,1.0
32,3.675919346690648e-09,1.0,1.0,6.058193775970722e-06,1.0,1.0
33,3.3715641389875373e-09,1.0,1.0,4.732326942757936e-06,1.0,1.0
34,1.6088029042293783e-07,1.0,1.0,3.799854312092066e-06,1.0,1.0
35,5.101867817103312e-09,1.0,1.0,3.010285126947565e-06,1.0,1.0
36,2.045851843490709e-08,1.0,1.0,2.4072730866464553e-06,1.0,1.0
37,4.508694306792904e-09,1.0,1.0,1.871556037258415e-06,1.0,1.0
38,7.3059416294540824e-09,1.0,1.0,1.3828686178385396e-06,1.0,1.0
39,2.0448878146339666e-08,1.0,1.0,1.0374589010098134e-06,1.0,1.0
40,1.3686064903595252e-07,1.0,1.0,7.864491067266499e-07,1.0,1.0
41,1.4038529450033366e-08,1.0,1.0,6.186213568071253e-07,1.0,1.0
42,1.248044423363126e-08,1.0,1.0,4.5534395098911773e-07,1.0,1.0
43,6.963378496038786e-07,0.9999998807907104,0.9965276718139648,3.341818910485017e-07,1.0,1.0
44,2.022439327120651e-09,1.0,1.0,2.380297843274093e-07,1.0,1.0
45,4.5852064367579715e-09,1.0,1.0,1.8465154028035613e-07,1.0,1.0
46,3.7822182719082775e-08,1.0,1.0,1.4200226416960504e-07,1.0,1.0
47,4.442465506571125e-09,1.0,1.0,1.1302377345145942e-07,1.0,1.0
48,1.3004227916724176e-08,1.0,1.0,8.626738434713843e-08,1.0,1.0
49,3.057951003526682e-09,1.0,1.0,6.73172024789892e-08,1.0,1.0
50,4.527288766098536e-08,1.0,1.0,5.3497146268455253e-08,1.0,1.0
51,3.423372518795986e-08,1.0,1.0,4.577454149057303e-08,1.0,1.0
52,4.500470396351375e-08,1.0,1.0,3.90977170638962e-08,1.0,1.0
53,7.233438736875542e-08,1.0,1.0,3.6107017820086185e-08,1.0,1.0
54,4.856129365293782e-08,1.0,1.0,3.265902392968201e-08,1.0,1.0
55,3.848236396208904e-09,1.0,1.0,2.8059071510710965e-08,1.0,1.0
56,1.2734237664346892e-08,1.0,1.0,2.570093116105454e-08,1.0,1.0
57,8.119678085449777e-08,1.0,1.0,2.358020800841132e-08,1.0,1.0
58,5.153927506995615e-09,1.0,1.0,2.1529324101265956e-08,1.0,1.0
59,2.486217631769705e-08,1.0,1.0,1.9965595399185077e-08,1.0,1.0
60,5.518914036883871e-08,1.0,1.0,1.8378232269355976e-08,1.0,1.0
61,3.850419147966022e-07,1.0,0.9965277314186096,1.5720589274792474e-08,1.0,1.0
62,4.062370706492402e-08,1.0,1.0,1.376822211796025e-08,1.0,1.0
63,2.1857792020796296e-08,1.0,1.0,1.338004373963031e-08,1.0,1.0
64,5.17113889486609e-08,1.0,1.0,1.2166054830231587e-08,1.0,1.0
65,4.468932957024663e-08,1.0,1.0,1.125949022906525e-08,1.0,1.0
66,1.966285800847345e-08,1.0,1.0,1.096902302322178e-08,1.0,1.0
67,4.4134587540156645e-08,1.0,1.0,9.899498110144123e-09,1.0,1.0
68,8.799845296891817e-09,1.0,1.0,9.405627388048288e-09,1.0,1.0
69,1.1328420157497021e-07,1.0,1.0,9.289173874549306e-09,1.0,1.0
70,1.433814418305701e-07,1.0,1.0,8.998571665586041e-09,1.0,1.0
71,1.6589673634825886e-08,1.0,1.0,8.876171797567167e-09,1.0,1.0
72,2.7184652751088834e-08,1.0,1.0,9.077044005323387e-09,1.0,1.0
73,2.5073136455944223e-08,1.0,1.0,9.17832743141389e-09,1.0,1.0
74,3.777012036465521e-09,1.0,1.0,8.578777688228456e-09,1.0,1.0
75,4.84976236947432e-09,1.0,1.0,8.684883034959512e-09,1.0,1.0
76,9.180147308995856e-09,1.0,1.0,8.465067757867928e-09,1.0,1.0
77,7.3615971096785415e-09,1.0,1.0,8.147778451927934e-09,1.0,1.0
78,1.7457580270274775e-08,1.0,1.0,8.119169336850973e-09,1.0,1.0
79,2.110660446419388e-08,1.0,1.0,8.12622591439549e-09,1.0,1.0
80,1.123495820820608e-07,1.0,1.0,8.129585005178797e-09,1.0,1.0
81,3.758957145549857e-09,1.0,1.0,7.720331929306212e-09,1.0,1.0
82,8.006889373746162e-09,1.0,1.0,7.848810490429514e-09,1.0,1.0
83,4.462171521169012e-09,1.0,1.0,7.525149392506592e-09,1.0,1.0
84,2.6435102995492343e-08,1.0,1.0,7.382938260747096e-09,1.0,1.0
85,6.294351262425835e-09,1.0,1.0,7.450969619071657e-09,1.0,1.0
86,1.0578427023233417e-08,1.0,1.0,7.3551258417126064e-09,1.0,1.0
87,5.701137339997331e-09,1.0,1.0,6.766137428115826e-09,1.0,1.0
88,6.1364269221542145e-09,1.0,1.0,6.721297296508055e-09,1.0,1.0
89,3.2539997363301154e-08,1.0,1.0,6.846545108629698e-09,1.0,1.0
90,1.2954805228559962e-08,1.0,1.0,6.720206169319454e-09,1.0,1.0
91,1.9579552201776096e-08,1.0,1.0,6.609476965735439e-09,1.0,1.0
92,7.921019395951134e-09,1.0,1.0,6.620820336422639e-09,1.0,1.0
93,1.0964749996844603e-08,1.0,1.0,6.623027015706384e-09,1.0,1.0
94,4.892532601274979e-09,1.0,1.0,6.869282476174021e-09,1.0,1.0
95,1.0620605728206556e-08,1.0,1.0,6.6197207715390505e-09,1.0,1.0
96,9.785923182903389e-09,1.0,1.0,7.132115342756151e-09,1.0,1.0
97,3.18200790161427e-08,1.0,1.0,7.179535632673151e-09,1.0,1.0
98,5.437214234405019e-09,1.0,1.0,6.71861721812661e-09,1.0,1.0
99,5.070600650469714e-08,1.0,1.0,6.555882503533894e-09,1.0,1.0
